day,meal,item,weather,event,demand
Saturday,Dinner,Rice,Sunny,Holiday,156
Saturday,Snacks,Samosa,Cold,Holiday,178
Wednesday,Snacks,Puff,Sunny,Festival,165
Sunday,Snacks,Puff,Rainy,Sports Meet,229
Sunday,Snacks,Puff,Sunny,Festival,209
Friday,Dinner,Noodles,Cold,Exam,63
Sunday,Dinner,Noodles,Sunny,Festival,257
Wednesday,Dinner,Biryani,Cold,Festival,224
Saturday,Snacks,Puff,Sunny,Holiday,82
Monday,Snacks,Puff,Cold,Sports Meet,193
Sunday,Snacks,Samosa,Cold,Exam,195
Thursday,Breakfast,Sandwich,Cloudy,Exam,91
Friday,Lunch,Chapati,Cloudy,Exam,65
Tuesday,Lunch,Rice,Sunny,Festival,182
Tuesday,Dinner,Rice,Cloudy,Exam,135
Thursday,Breakfast,Idli,Sunny,No,121
Monday,Snacks,Noodles,Rainy,Festival,270
Saturday,Lunch,Biryani,Cold,No,181
Wednesday,Snacks,Puff,Rainy,Exam,106
Thursday,Dinner,Noodles,Sunny,Exam,121
Friday,Snacks,Sandwich,Sunny,Festival,183
Wednesday,Snacks,Puff,Rainy,Holiday,100
Sunday,Lunch,Biryani,Rainy,No,177
Friday,Snacks,Puff,Cold,Festival,218
Sunday,Lunch,Chapati,Cloudy,Festival,228
Wednesday,Breakfast,Sandwich,Cold,Holiday,126
Tuesday,Snacks,Noodles,Rainy,Exam,176
Saturday,Dinner,Biryani,Cloudy,Sports Meet,286
Monday,Dinner,Noodles,Cloudy,Festival,198
Thursday,Dinner,Rice,Rainy,No,92
Thursday,Breakfast,Sandwich,Cold,Festival,180
Monday,Lunch,Biryani,Cold,Sports Meet,242
Wednesday,Snacks,Noodles,Rainy,Festival,186
Wednesday,Dinner,Chapati,Rainy,Sports Meet,169
Wednesday,Breakfast,Sandwich,Sunny,Sports Meet,213
Sunday,Breakfast,Dosa,Cold,Holiday,112
Saturday,Snacks,Noodles,Rainy,Holiday,132
Friday,Lunch,Rice,Sunny,Holiday,158
Sunday,Snacks,Puff,Sunny,Exam,43
Sunday,Snacks,Puff,Cold,Exam,118
Monday,Snacks,Puff,Cold,Exam,123
Wednesday,Dinner,Noodles,Cloudy,Exam,118
Friday,Snacks,Noodles,Sunny,Festival,199
Wednesday,Snacks,Samosa,Cold,Exam,188
Saturday,Breakfast,Idli,Cold,No,105
Saturday,Breakfast,Sandwich,Rainy,Exam,96
Sunday,Dinner,Noodles,Sunny,Festival,264
Friday,Breakfast,Sandwich,Rainy,Exam,61
Sunday,Lunch,Noodles,Rainy,No,121
Thursday,Snacks,Noodles,Cloudy,Exam,130
Wednesday,Dinner,Rice,Sunny,Holiday,135
Friday,Dinner,Rice,Rainy,Festival,175
Saturday,Lunch,Chapati,Cloudy,Exam,117
Wednesday,Lunch,Rice,Cloudy,Sports Meet,200
Thursday,Dinner,Rice,Rainy,No,129
Saturday,Lunch,Biryani,Rainy,No,176
Monday,Snacks,Puff,Cold,Exam,120
Wednesday,Dinner,Noodles,Rainy,Exam,43
Wednesday,Dinner,Rice,Cloudy,Sports Meet,221
Sunday,Lunch,Biryani,Cloudy,Festival,240
Friday,Breakfast,Sandwich,Cloudy,No,121
Tuesday,Lunch,Chapati,Cloudy,No,92
Monday,Dinner,Biryani,Cloudy,Holiday,113
Wednesday,Lunch,Noodles,Cloudy,Holiday,159
Saturday,Dinner,Rice,Sunny,No,192
Saturday,Snacks,Samosa,Cold,Holiday,212
Wednesday,Lunch,Noodles,Cloudy,Sports Meet,177
Sunday,Dinner,Noodles,Cloudy,Sports Meet,218
Sunday,Snacks,Samosa,Cloudy,Festival,227
Wednesday,Breakfast,Dosa,Rainy,Festival,155
Tuesday,Dinner,Biryani,Sunny,No,171
Monday,Dinner,Noodles,Cold,Sports Meet,168
Friday,Lunch,Biryani,Sunny,Holiday,280
Monday,Dinner,Biryani,Rainy,Exam,149
Monday,Dinner,Biryani,Sunny,No,167
Tuesday,Dinner,Noodles,Rainy,Festival,150
Sunday,Breakfast,Dosa,Cloudy,Festival,192
Tuesday,Lunch,Biryani,Rainy,Holiday,215
Monday,Snacks,Puff,Rainy,Holiday,85
Monday,Snacks,Samosa,Cloudy,Sports Meet,287
Saturday,Breakfast,Idli,Cloudy,Holiday,170
Saturday,Breakfast,Sandwich,Sunny,Festival,222
Friday,Dinner,Noodles,Rainy,Holiday,101
Monday,Snacks,Noodles,Cold,Exam,98
Saturday,Breakfast,Idli,Sunny,Holiday,182
Thursday,Breakfast,Dosa,Rainy,Festival,179
Monday,Lunch,Rice,Cold,Holiday,139
Wednesday,Lunch,Noodles,Cold,No,105
Tuesday,Dinner,Biryani,Rainy,Exam,130
Friday,Snacks,Noodles,Cloudy,Holiday,72
Saturday,Breakfast,Dosa,Cloudy,Festival,159
Friday,Breakfast,Sandwich,Sunny,Exam,105
Sunday,Snacks,Noodles,Cloudy,Festival,205
Wednesday,Dinner,Chapati,Cloudy,Holiday,61
Monday,Breakfast,Dosa,Sunny,Festival,234
Saturday,Snacks,Samosa,Cloudy,No,165
Tuesday,Lunch,Rice,Cold,Exam,102
Thursday,Snacks,Sandwich,Cold,No,129
Friday,Snacks,Sandwich,Cold,Festival,238
Thursday,Breakfast,Dosa,Cold,Holiday,137
Monday,Snacks,Puff,Sunny,Exam,84
Monday,Breakfast,Dosa,Sunny,No,135
Sunday,Breakfast,Idli,Rainy,Exam,34
Saturday,Snacks,Puff,Rainy,Festival,207
Monday,Lunch,Biryani,Sunny,Holiday,251
Saturday,Lunch,Chapati,Cloudy,Holiday,160
Sunday,Snacks,Puff,Rainy,Sports Meet,184
Thursday,Lunch,Rice,Cold,No,94
Thursday,Dinner,Chapati,Cloudy,Holiday,77
Friday,Breakfast,Idli,Cloudy,Holiday,190
Thursday,Breakfast,Dosa,Sunny,Exam,126
Wednesday,Dinner,Rice,Rainy,Sports Meet,193
Wednesday,Lunch,Rice,Cold,No,136
Sunday,Lunch,Biryani,Sunny,Sports Meet,315
Sunday,Lunch,Noodles,Rainy,Exam,101
Wednesday,Lunch,Chapati,Sunny,Festival,166
Saturday,Lunch,Rice,Rainy,Festival,171
Wednesday,Snacks,Samosa,Cloudy,Festival,270
Sunday,Snacks,Sandwich,Cold,No,134
Saturday,Lunch,Chapati,Sunny,Exam,154
Saturday,Lunch,Chapati,Rainy,Exam,89
Tuesday,Lunch,Chapati,Sunny,No,108
Monday,Dinner,Noodles,Cold,Exam,73
Wednesday,Breakfast,Idli,Cold,Exam,61
Monday,Breakfast,Sandwich,Rainy,Sports Meet,210
Wednesday,Lunch,Rice,Cold,Sports Meet,162
Friday,Lunch,Chapati,Cloudy,No,88
Sunday,Snacks,Noodles,Cloudy,Sports Meet,209
Tuesday,Breakfast,Dosa,Sunny,Exam,110
Tuesday,Snacks,Samosa,Cloudy,Sports Meet,197
Thursday,Lunch,Noodles,Cold,Holiday,151
Monday,Dinner,Chapati,Rainy,No,54
Friday,Lunch,Chapati,Sunny,No,127
Sunday,Breakfast,Sandwich,Cold,Exam,82
Monday,Dinner,Rice,Cloudy,Holiday,76
Sunday,Dinner,Noodles,Sunny,Sports Meet,290
Thursday,Lunch,Chapati,Rainy,Holiday,130
Tuesday,Lunch,Noodles,Cloudy,Festival,212
Saturday,Breakfast,Sandwich,Cloudy,Festival,212
Wednesday,Lunch,Chapati,Sunny,Sports Meet,203
Thursday,Breakfast,Idli,Rainy,Festival,160
Saturday,Breakfast,Sandwich,Rainy,Exam,98
Friday,Lunch,Chapati,Sunny,No,136
Thursday,Breakfast,Sandwich,Cloudy,No,105
Monday,Lunch,Noodles,Sunny,Sports Meet,222
Sunday,Breakfast,Dosa,Sunny,No,146
Thursday,Dinner,Chapati,Cold,No,69
Saturday,Dinner,Biryani,Sunny,Holiday,182
Saturday,Breakfast,Sandwich,Cold,Exam,91
Friday,Lunch,Chapati,Cloudy,Holiday,154
Tuesday,Lunch,Chapati,Cloudy,No,121
Wednesday,Dinner,Chapati,Rainy,Sports Meet,164
Friday,Snacks,Samosa,Rainy,No,244
Saturday,Lunch,Chapati,Sunny,Festival,206
Saturday,Breakfast,Sandwich,Sunny,Sports Meet,216
Monday,Dinner,Biryani,Sunny,Festival,279
Thursday,Breakfast,Dosa,Cloudy,Holiday,170
Monday,Snacks,Sandwich,Cloudy,Sports Meet,191
Saturday,Breakfast,Idli,Sunny,Festival,213
Sunday,Lunch,Noodles,Cloudy,No,157
Monday,Snacks,Noodles,Cold,No,135
Saturday,Snacks,Sandwich,Rainy,Sports Meet,201
Friday,Dinner,Chapati,Rainy,Exam,95
Saturday,Snacks,Puff,Cold,Exam,124
Wednesday,Lunch,Biryani,Cold,Festival,224
Monday,Dinner,Biryani,Cloudy,No,142
Saturday,Breakfast,Sandwich,Cloudy,Holiday,142
Thursday,Lunch,Chapati,Rainy,Holiday,116
Thursday,Snacks,Samosa,Rainy,No,181
Friday,Lunch,Chapati,Cold,No,92
Wednesday,Snacks,Samosa,Cloudy,Holiday,176
Saturday,Snacks,Puff,Cloudy,Festival,166
Saturday,Snacks,Samosa,Cloudy,No,166
Wednesday,Breakfast,Sandwich,Rainy,Sports Meet,168
Thursday,Lunch,Noodles,Cold,Exam,109
Wednesday,Dinner,Biryani,Cold,Exam,183
Saturday,Breakfast,Dosa,Cloudy,Holiday,162
Sunday,Snacks,Noodles,Cloudy,No,108
Friday,Snacks,Samosa,Cloudy,Festival,266
Tuesday,Lunch,Biryani,Cloudy,No,216
Wednesday,Snacks,Samosa,Rainy,Festival,332
Saturday,Lunch,Noodles,Rainy,Sports Meet,212
Thursday,Breakfast,Idli,Sunny,Festival,195
Monday,Lunch,Chapati,Rainy,Festival,123
Friday,Dinner,Chapati,Cold,No,92
Wednesday,Dinner,Chapati,Sunny,Sports Meet,156
Thursday,Dinner,Rice,Sunny,No,127
Tuesday,Snacks,Noodles,Cloudy,Holiday,93
Friday,Dinner,Biryani,Cold,No,144
Tuesday,Snacks,Sandwich,Cloudy,Sports Meet,188
Tuesday,Breakfast,Dosa,Rainy,Festival,211
Monday,Lunch,Rice,Rainy,Sports Meet,146
Monday,Snacks,Puff,Rainy,Sports Meet,211
Sunday,Breakfast,Dosa,Cloudy,Sports Meet,203
Thursday,Breakfast,Sandwich,Sunny,Festival,231
Wednesday,Breakfast,Idli,Cloudy,No,111
Sunday,Lunch,Biryani,Rainy,Holiday,194
Thursday,Lunch,Biryani,Sunny,Holiday,238
Thursday,Dinner,Noodles,Rainy,Exam,85
Tuesday,Lunch,Biryani,Cloudy,Holiday,261
Wednesday,Breakfast,Dosa,Cold,Festival,150
Wednesday,Snacks,Puff,Cloudy,Sports Meet,199
Sunday,Lunch,Noodles,Sunny,Festival,228
Saturday,Dinner,Chapati,Rainy,Sports Meet,186
Tuesday,Lunch,Noodles,Sunny,No,112
Monday,Snacks,Sandwich,Sunny,Sports Meet,214
Wednesday,Breakfast,Dosa,Cold,Exam,95
Tuesday,Breakfast,Idli,Cold,Exam,76
Monday,Lunch,Chapati,Cloudy,No,94
Tuesday,Lunch,Rice,Cloudy,Holiday,155
Tuesday,Dinner,Biryani,Sunny,No,206
Saturday,Lunch,Noodles,Sunny,Festival,244
Wednesday,Dinner,Rice,Sunny,Exam,112
Sunday,Dinner,Biryani,Cold,Holiday,189
Thursday,Dinner,Biryani,Cloudy,Exam,164
Sunday,Dinner,Chapati,Cloudy,Festival,202
Thursday,Lunch,Chapati,Rainy,No,94
Sunday,Snacks,Sandwich,Cloudy,No,150
Wednesday,Lunch,Noodles,Rainy,Holiday,161
Friday,Snacks,Puff,Cloudy,Holiday,75
Thursday,Snacks,Puff,Sunny,Holiday,101
Wednesday,Snacks,Puff,Rainy,Sports Meet,211
Friday,Dinner,Noodles,Cold,No,86
Wednesday,Snacks,Sandwich,Sunny,Festival,190
Saturday,Snacks,Samosa,Cloudy,Sports Meet,251
Monday,Dinner,Noodles,Cold,Sports Meet,175
Wednesday,Lunch,Rice,Rainy,No,95
Tuesday,Dinner,Chapati,Cloudy,Sports Meet,203
Wednesday,Snacks,Sandwich,Cloudy,Holiday,67
Tuesday,Lunch,Biryani,Rainy,Festival,221
Wednesday,Dinner,Rice,Cloudy,Exam,91
Friday,Snacks,Noodles,Cloudy,Exam,110
Friday,Breakfast,Dosa,Sunny,Holiday,191
Wednesday,Snacks,Puff,Cold,Festival,228
Thursday,Dinner,Rice,Cloudy,Exam,94
Tuesday,Lunch,Rice,Cold,Holiday,105
Saturday,Snacks,Noodles,Cloudy,Sports Meet,228
Wednesday,Breakfast,Sandwich,Sunny,No,134
Thursday,Lunch,Noodles,Rainy,Exam,47
Monday,Lunch,Rice,Sunny,No,129
Saturday,Breakfast,Idli,Sunny,Festival,190
Monday,Snacks,Sandwich,Sunny,Holiday,108
Wednesday,Snacks,Samosa,Rainy,No,204
Monday,Breakfast,Sandwich,Sunny,Sports Meet,207
Wednesday,Dinner,Biryani,Cloudy,Sports Meet,263
Tuesday,Lunch,Biryani,Sunny,Holiday,244
Friday,Snacks,Sandwich,Cold,Holiday,133
Sunday,Lunch,Chapati,Cold,Holiday,116
Thursday,Snacks,Samosa,Rainy,Holiday,152
Saturday,Lunch,Noodles,Cold,Festival,142
Tuesday,Breakfast,Idli,Rainy,No,93
Friday,Snacks,Noodles,Rainy,Festival,252
Thursday,Lunch,Chapati,Cloudy,Festival,171
Tuesday,Lunch,Chapati,Sunny,No,130
Saturday,Dinner,Noodles,Sunny,Exam,166
Tuesday,Snacks,Noodles,Cold,Festival,253
Thursday,Snacks,Sandwich,Sunny,No,140
Thursday,Snacks,Noodles,Cloudy,Sports Meet,186
Saturday,Breakfast,Sandwich,Rainy,No,114
Sunday,Snacks,Noodles,Sunny,Exam,99
Saturday,Breakfast,Dosa,Sunny,Holiday,160
Saturday,Snacks,Sandwich,Rainy,Festival,261
Monday,Dinner,Biryani,Cloudy,Holiday,136
Sunday,Breakfast,Idli,Cloudy,Festival,163
Wednesday,Dinner,Biryani,Rainy,Holiday,140
Sunday,Breakfast,Dosa,Rainy,Holiday,135
Sunday,Dinner,Biryani,Sunny,Holiday,186
Thursday,Breakfast,Sandwich,Sunny,Holiday,223
Tuesday,Dinner,Rice,Sunny,Exam,108
Friday,Dinner,Biryani,Rainy,Festival,233
Thursday,Breakfast,Idli,Cloudy,No,128
Monday,Snacks,Samosa,Cloudy,Holiday,146
Tuesday,Lunch,Chapati,Sunny,Holiday,165
Wednesday,Snacks,Noodles,Sunny,No,109
Tuesday,Snacks,Sandwich,Cloudy,No,120
Thursday,Breakfast,Sandwich,Rainy,No,133
Thursday,Dinner,Rice,Rainy,Exam,92
Friday,Breakfast,Sandwich,Cloudy,Holiday,129
Saturday,Snacks,Sandwich,Cold,Sports Meet,211
Tuesday,Dinner,Noodles,Rainy,Festival,146
Saturday,Snacks,Puff,Cold,Exam,114
Tuesday,Breakfast,Sandwich,Rainy,Holiday,165
Tuesday,Dinner,Rice,Rainy,Holiday,36
Monday,Lunch,Rice,Cloudy,Sports Meet,201
Friday,Breakfast,Sandwich,Cold,Sports Meet,183
Saturday,Breakfast,Sandwich,Rainy,Festival,161
Friday,Breakfast,Dosa,Rainy,Holiday,161
Saturday,Dinner,Biryani,Rainy,Sports Meet,268
Wednesday,Snacks,Puff,Sunny,No,81
Tuesday,Dinner,Noodles,Rainy,Exam,96
Tuesday,Breakfast,Dosa,Cloudy,No,103
Monday,Snacks,Sandwich,Cloudy,Exam,115
Monday,Dinner,Rice,Rainy,Sports Meet,194
Wednesday,Snacks,Sandwich,Cold,Holiday,106
Monday,Breakfast,Dosa,Sunny,Festival,249
Wednesday,Dinner,Biryani,Sunny,Sports Meet,299
Tuesday,Lunch,Rice,Rainy,Sports Meet,207
Friday,Lunch,Noodles,Sunny,Sports Meet,190
Wednesday,Dinner,Biryani,Sunny,Holiday,153
Tuesday,Breakfast,Sandwich,Cold,Holiday,152
Monday,Lunch,Chapati,Sunny,No,146
Tuesday,Breakfast,Sandwich,Sunny,Exam,123
Monday,Dinner,Noodles,Rainy,Festival,194
Thursday,Breakfast,Dosa,Rainy,Festival,176
Thursday,Snacks,Samosa,Rainy,No,221
Saturday,Breakfast,Sandwich,Cold,Sports Meet,225
Friday,Lunch,Biryani,Rainy,Holiday,233
Thursday,Dinner,Biryani,Rainy,Holiday,101
Tuesday,Dinner,Chapati,Cloudy,Festival,159
Monday,Lunch,Biryani,Rainy,No,184
Tuesday,Snacks,Noodles,Sunny,Sports Meet,200
Monday,Breakfast,Sandwich,Rainy,Exam,67
Wednesday,Lunch,Biryani,Cloudy,Sports Meet,296
Thursday,Dinner,Chapati,Cloudy,No,134
Saturday,Snacks,Samosa,Cloudy,Sports Meet,234
Tuesday,Snacks,Samosa,Cloudy,Exam,117
Wednesday,Breakfast,Idli,Rainy,Exam,99
Sunday,Lunch,Noodles,Cloudy,Sports Meet,226
Monday,Lunch,Rice,Cloudy,Holiday,145
Saturday,Breakfast,Dosa,Cold,Exam,99
Monday,Lunch,Chapati,Cold,Sports Meet,170
Tuesday,Lunch,Biryani,Cloudy,Holiday,225
Sunday,Lunch,Rice,Rainy,Holiday,138
Wednesday,Lunch,Chapati,Cold,Holiday,116
Tuesday,Breakfast,Sandwich,Cloudy,Exam,113
Tuesday,Breakfast,Sandwich,Rainy,No,99
Saturday,Lunch,Biryani,Cold,Holiday,200
Friday,Snacks,Noodles,Sunny,Sports Meet,218
Wednesday,Dinner,Noodles,Rainy,No,82
Sunday,Breakfast,Sandwich,Cloudy,Festival,214
Tuesday,Lunch,Biryani,Rainy,Sports Meet,224
Friday,Dinner,Noodles,Cold,Festival,190
Monday,Dinner,Biryani,Rainy,Exam,118
Sunday,Breakfast,Idli,Rainy,Holiday,139
Friday,Lunch,Chapati,Rainy,No,73
Monday,Dinner,Biryani,Cloudy,Sports Meet,231
Tuesday,Snacks,Samosa,Cold,Holiday,164
Tuesday,Lunch,Chapati,Rainy,Festival,123
Saturday,Snacks,Noodles,Rainy,Sports Meet,209
Saturday,Lunch,Biryani,Sunny,Exam,182
Friday,Breakfast,Sandwich,Sunny,Exam,115
Friday,Lunch,Rice,Cloudy,No,149
Saturday,Breakfast,Idli,Sunny,Holiday,152
Monday,Snacks,Puff,Rainy,Festival,179
Saturday,Snacks,Puff,Cloudy,Holiday,61
Friday,Lunch,Rice,Cold,Holiday,156
Saturday,Snacks,Puff,Cold,Festival,198
Sunday,Breakfast,Idli,Cloudy,Holiday,187
Wednesday,Snacks,Noodles,Sunny,Festival,182
Tuesday,Lunch,Chapati,Cold,Festival,202
Sunday,Dinner,Rice,Rainy,No,135
Wednesday,Snacks,Puff,Sunny,No,99
Monday,Snacks,Puff,Cloudy,Holiday,45
Tuesday,Dinner,Rice,Cold,Exam,45
Saturday,Dinner,Rice,Cloudy,Festival,194
Wednesday,Dinner,Chapati,Sunny,Holiday,72
Monday,Snacks,Sandwich,Sunny,Exam,90
Saturday,Lunch,Noodles,Rainy,Holiday,174
Sunday,Lunch,Noodles,Sunny,Sports Meet,242
Friday,Breakfast,Dosa,Cloudy,No,123
Monday,Dinner,Biryani,Cold,Festival,201
Sunday,Dinner,Chapati,Cloudy,Festival,234
Friday,Snacks,Noodles,Sunny,No,131
Friday,Breakfast,Idli,Rainy,No,88
Monday,Lunch,Biryani,Cold,Holiday,207
Tuesday,Dinner,Chapati,Cold,Festival,147
Saturday,Snacks,Noodles,Cold,Holiday,140
Saturday,Dinner,Biryani,Sunny,Sports Meet,288
Sunday,Breakfast,Idli,Rainy,Festival,174
Monday,Dinner,Rice,Rainy,Sports Meet,181
Wednesday,Dinner,Chapati,Cloudy,Exam,102
Thursday,Breakfast,Sandwich,Cloudy,Festival,178
Thursday,Dinner,Chapati,Rainy,Exam,72
Wednesday,Lunch,Chapati,Cloudy,Exam,86
Saturday,Snacks,Samosa,Cloudy,No,189
Wednesday,Dinner,Chapati,Rainy,Sports Meet,125
Sunday,Breakfast,Sandwich,Sunny,Holiday,189
Saturday,Snacks,Puff,Cold,Exam,98
Saturday,Breakfast,Idli,Cloudy,Festival,197
Monday,Breakfast,Dosa,Cloudy,Holiday,172
Thursday,Lunch,Biryani,Cloudy,Exam,166
Tuesday,Lunch,Rice,Rainy,Holiday,124
Friday,Snacks,Noodles,Cloudy,Festival,191
Sunday,Dinner,Noodles,Rainy,Exam,158
Sunday,Lunch,Rice,Cold,Festival,202
Sunday,Dinner,Noodles,Rainy,Holiday,127
Saturday,Snacks,Noodles,Rainy,Exam,153
Friday,Breakfast,Dosa,Cloudy,Holiday,147
Saturday,Snacks,Noodles,Cold,Sports Meet,242
Wednesday,Snacks,Puff,Sunny,Holiday,68
Monday,Lunch,Rice,Sunny,Holiday,182
Thursday,Lunch,Biryani,Rainy,Sports Meet,208
Monday,Dinner,Rice,Cloudy,No,113
Friday,Dinner,Biryani,Cold,Exam,82
Monday,Lunch,Chapati,Sunny,No,137
Wednesday,Snacks,Puff,Cloudy,Exam,81
Monday,Breakfast,Sandwich,Cloudy,Sports Meet,183
Friday,Dinner,Chapati,Sunny,Holiday,104
Thursday,Lunch,Biryani,Sunny,Sports Meet,257
Saturday,Dinner,Noodles,Cloudy,Exam,94
Sunday,Breakfast,Sandwich,Cloudy,Holiday,146
Thursday,Breakfast,Dosa,Rainy,Sports Meet,150
Saturday,Snacks,Sandwich,Cold,Festival,212
Friday,Dinner,Noodles,Cold,Holiday,60
Wednesday,Breakfast,Idli,Cold,No,86
Friday,Breakfast,Idli,Cloudy,Exam,72
Saturday,Breakfast,Dosa,Sunny,Festival,175
Friday,Dinner,Rice,Cold,Holiday,85
Saturday,Breakfast,Sandwich,Sunny,Holiday,185
Tuesday,Lunch,Chapati,Cloudy,Sports Meet,195
Monday,Lunch,Rice,Rainy,Exam,52
Monday,Lunch,Rice,Sunny,Festival,214
Sunday,Snacks,Samosa,Cloudy,Festival,220
Sunday,Snacks,Puff,Sunny,Holiday,73
Thursday,Lunch,Biryani,Sunny,Sports Meet,291
Wednesday,Dinner,Chapati,Sunny,No,152
Wednesday,Lunch,Chapati,Cold,Festival,200
Saturday,Lunch,Noodles,Sunny,Exam,89
Wednesday,Snacks,Noodles,Sunny,Exam,102
Wednesday,Snacks,Samosa,Cold,Exam,204
Thursday,Snacks,Puff,Cold,Exam,75
Friday,Breakfast,Sandwich,Cloudy,Sports Meet,166
Thursday,Lunch,Chapati,Cloudy,Exam,64
Sunday,Breakfast,Idli,Rainy,Holiday,155
Saturday,Snacks,Sandwich,Cloudy,Holiday,112
Tuesday,Dinner,Chapati,Cloudy,Festival,203
Wednesday,Breakfast,Dosa,Sunny,No,155
Tuesday,Dinner,Biryani,Rainy,No,201
Friday,Lunch,Chapati,Rainy,No,111
Thursday,Dinner,Biryani,Cold,Exam,144
Thursday,Lunch,Biryani,Cold,Sports Meet,223
Thursday,Breakfast,Sandwich,Rainy,No,120
Wednesday,Breakfast,Sandwich,Rainy,Holiday,121
Saturday,Lunch,Biryani,Sunny,Holiday,232
Wednesday,Lunch,Noodles,Cold,Holiday,124
Sunday,Breakfast,Dosa,Cold,Holiday,163
Tuesday,Dinner,Chapati,Cloudy,No,97
Tuesday,Lunch,Chapati,Cold,Festival,166
Wednesday,Snacks,Samosa,Cloudy,Holiday,133
Tuesday,Breakfast,Idli,Cloudy,Exam,68
Saturday,Dinner,Rice,Sunny,Holiday,114
Thursday,Breakfast,Sandwich,Sunny,Holiday,175
Friday,Dinner,Chapati,Cloudy,Holiday,73
Monday,Snacks,Samosa,Cold,Exam,195
Tuesday,Snacks,Samosa,Rainy,Sports Meet,316
Thursday,Breakfast,Sandwich,Cloudy,Sports Meet,210
Monday,Dinner,Rice,Rainy,Sports Meet,165
Thursday,Lunch,Rice,Rainy,Sports Meet,177
Wednesday,Lunch,Noodles,Cloudy,Exam,110
Friday,Dinner,Biryani,Cloudy,Exam,134
Saturday,Breakfast,Sandwich,Sunny,Festival,212
Sunday,Lunch,Rice,Cold,Holiday,179
Monday,Breakfast,Dosa,Cloudy,Festival,172
Sunday,Breakfast,Dosa,Cold,Sports Meet,191
Saturday,Dinner,Biryani,Cloudy,Exam,196
Sunday,Breakfast,Dosa,Cold,Exam,109
Sunday,Snacks,Noodles,Sunny,Exam,93
Sunday,Snacks,Noodles,Cloudy,No,124
Wednesday,Breakfast,Idli,Sunny,Exam,117
Wednesday,Dinner,Biryani,Rainy,Exam,94
Wednesday,Dinner,Chapati,Cold,Holiday,80
Wednesday,Breakfast,Dosa,Rainy,Holiday,145
Monday,Snacks,Samosa,Cloudy,Holiday,183
Saturday,Snacks,Puff,Cloudy,Sports Meet,185
Tuesday,Snacks,Puff,Cloudy,Holiday,79
Wednesday,Dinner,Biryani,Cold,Holiday,134
Thursday,Breakfast,Idli,Rainy,Exam,91
Wednesday,Dinner,Rice,Sunny,Exam,133
Sunday,Lunch,Biryani,Sunny,Festival,301
Thursday,Snacks,Sandwich,Cloudy,No,111
Saturday,Breakfast,Idli,Cold,Sports Meet,216
Saturday,Breakfast,Sandwich,Rainy,Sports Meet,189
Thursday,Snacks,Noodles,Cloudy,Holiday,104
Tuesday,Breakfast,Dosa,Rainy,No,122
Wednesday,Dinner,Noodles,Cloudy,Exam,59
Friday,Snacks,Samosa,Cold,Festival,331
Thursday,Lunch,Biryani,Cloudy,Holiday,204
Saturday,Dinner,Rice,Rainy,Holiday,143
Tuesday,Dinner,Rice,Cloudy,Festival,223
Sunday,Snacks,Sandwich,Rainy,Sports Meet,185
Sunday,Snacks,Sandwich,Sunny,Exam,105
Thursday,Snacks,Sandwich,Cloudy,Sports Meet,231
Monday,Lunch,Biryani,Cold,Holiday,174
Saturday,Breakfast,Sandwich,Rainy,Festival,206
Thursday,Breakfast,Idli,Cloudy,No,150
Tuesday,Breakfast,Dosa,Sunny,Sports Meet,215
Saturday,Dinner,Noodles,Sunny,No,168
Sunday,Breakfast,Dosa,Cloudy,No,110
Friday,Breakfast,Dosa,Sunny,Exam,145
Friday,Snacks,Samosa,Sunny,Holiday,178
Monday,Breakfast,Sandwich,Rainy,Holiday,123
Saturday,Breakfast,Idli,Sunny,Sports Meet,229
Saturday,Dinner,Noodles,Sunny,No,172
Tuesday,Lunch,Chapati,Cloudy,Holiday,128
Sunday,Dinner,Noodles,Cloudy,Sports Meet,210
Sunday,Lunch,Noodles,Sunny,Sports Meet,223
Saturday,Dinner,Chapati,Cloudy,No,172
Thursday,Dinner,Rice,Cold,Festival,193
Wednesday,Snacks,Noodles,Sunny,Festival,193
Wednesday,Snacks,Noodles,Sunny,Exam,54
Monday,Snacks,Samosa,Cold,Festival,316
Saturday,Dinner,Biryani,Sunny,Sports Meet,300
Sunday,Snacks,Sandwich,Sunny,Festival,241
Wednesday,Lunch,Chapati,Cloudy,Festival,167
Thursday,Lunch,Biryani,Cold,Holiday,205
Saturday,Snacks,Puff,Rainy,Sports Meet,186
Friday,Dinner,Noodles,Cloudy,Exam,89
Tuesday,Dinner,Noodles,Sunny,Sports Meet,225
Sunday,Breakfast,Sandwich,Rainy,Exam,56
Tuesday,Snacks,Noodles,Cloudy,Holiday,127
Wednesday,Snacks,Samosa,Rainy,Holiday,190
Sunday,Breakfast,Sandwich,Cloudy,No,103
Tuesday,Breakfast,Sandwich,Rainy,Sports Meet,185
Tuesday,Lunch,Noodles,Sunny,No,124
Sunday,Lunch,Biryani,Cloudy,Sports Meet,290
Saturday,Snacks,Sandwich,Cold,No,176
Wednesday,Breakfast,Dosa,Rainy,No,87
Friday,Breakfast,Idli,Cloudy,Festival,187
Monday,Lunch,Noodles,Cloudy,No,134
Saturday,Breakfast,Dosa,Cold,Holiday,132
Wednesday,Breakfast,Idli,Cloudy,Holiday,169
Sunday,Snacks,Noodles,Cold,Sports Meet,266
Thursday,Dinner,Biryani,Sunny,Exam,185
